kode_bps,kode_dagri,nama_bps,nama_dagri
3517180,35.17.14,PLOSO,PLOSO
3517190,35.17.16,KABUH,KABUH
3517200,35.17.15,PLANDAAN,PLANDAAN
3518010,35.18.01,SAWAHAN,SAWAHAN
3518020,35.18.02,NGETOS,NGETOS
3518030,35.18.03,BERBEK,BERBEK
3518040,35.18.04,LOCERET,LOCERET
3518050,35.18.05,PACE,PACE
3518060,35.18.11,TANJUNGANOM,TANJUNGANOM
3518070,35.18.06,PRAMBON,PRAMBON
3518080,35.18.07,NGRONGGOT,NGRONGGOT
3518090,35.18.08,KERTOSONO,KERTOSONO
3518100,35.18.09,PATIANROWO,PATIANROWO
3518110,35.18.10,BARON,BARON
3518120,35.18.17,GONDANG,GONDANG
3518130,35.18.12,SUKOMORO,SUKOMORO
3518140,35.18.13,NGANJUK,NGANJUK
3518150,35.18.14,BAGOR,BAGOR
3518160,35.18.15,WILANGAN,WILANGAN
3518170,35.18.16,REJOSO,REJOSO
3518180,35.18.18,NGLUYU,NGLUYU
3518190,35.18.19,LENGKONG,LENGKONG
3518200,35.18.20,JATIKALEN,JATIKALEN
3519010,35.19.01,KEBONSARI,KEBON SARI
3519020,35.19.03,GEGER,GEGER
3519030,35.19.02,DOLOPO,DOLOPO
3519040,35.19.04,DAGANGAN,DAGANGAN
3519050,35.19.07,WUNGU,WUNGU
3519060,35.19.05,KARE,KARE
3519070,35.19.06,GEMARANG,GEMARANG
3519080,35.19.12,SARADAN,SARADAN
3519090,35.19.13,PILANGKENCENG,PILANGKENCENG
3519100,35.19.11,MEJAYAN,MEJAYAN
3519110,35.19.15,WONOASRI,WONOASRI
3519120,35.19.10,BALEREJO,BALEREJO
3519130,35.19.08,MADIUN,MADIUN
3519140,35.19.14,SAWAHAN,SAWAHAN
3519150,35.19.09,JIWAN,JIWAN
3520010,35.20.01,PONCOL,PONCOL
3520020,35.20.02,PARANG,PARANG
3520030,35.20.03,LEMBEYAN,LEMBEYAN
3520040,35.20.04,TAKERAN,TAKERAN
3520041,35.20.17,NGUNTORONADI,NGUNTORONADI
3520050,35.20.05,KAWEDANAN,KAWEDANAN
3520060,35.20.06,MAGETAN,MAGETAN
3520061,35.20.16,NGARIBOYO,NGARIBOYO
3520070,35.20.07,PLAOSAN,PLAOSAN
3520071,35.20.18,SIDOREJO,SIDOREJO
3520080,35.20.08,PANEKAN,PANEKAN
3520090,35.20.09,SUKOMORO,SUKOMORO
3520100,35.20.10,BENDO,BENDO
3520110,35.20.11,MAOSPATI,MAOSPATI
3520120,35.20.13,KARANGREJO,KARANGREJO
3520121,35.20.14,KARAS,KARAS
3520130,35.20.12,BARAT,BARAT
3520131,35.20.15,KARTOHARJO,KARTOHARJO
3521010,35.21.01,SINE,SINE
3521020,35.21.02,NGRAMBE,NGRAMBE
3521030,35.21.03,JOGOROGO,JOGOROGO
3521040,35.21.04,KENDAL,KENDAL
3521050,35.21.05,GENENG,GENENG
3521051,35.21.18,GERIH,GERIH
3521060,35.21.06,KWADUNGAN,KWADUNGAN
3521070,35.21.14,PANGKUR,PANGKUR
3521080,35.21.07,KARANGJATI,KARANGJATI
3521090,35.21.15,BRINGIN,BRINGIN
3521100,35.21.08,PADAS,PADAS
3521101,35.21.19,KASREMAN,KASREMAN
3521110,35.21.09,NGAWI,NGAWI
3521120,35.21.10,PARON,PARON
3521130,35.21.11,KEDUNGGALAR,KEDUNGGALAR
3521140,35.21.16,PITU,PITU
3521150,35.21.12,WIDODAREN,WIDODAREN
3521160,35.21.13,MANTINGAN,MANTINGAN
3521170,35.21.17,KARANGANYAR,KARANGANYAR
3522090,35.22.09,KEPOH BARU,KEPOHBARU
3522010,35.22.22,MARGOMULYO,MARGOMULYO
3522020,35.22.01,NGRAHO,NGRAHO
3522030,35.22.02,TAMBAKREJO,TAMBAKREJO
3522040,35.22.03,NGAMBON,NGAMBON
3522041,35.22.27,SEKAR,SEKAR
3522050,35.22.05,BUBULAN,BUBULAN
3522051,35.22.26,GONDANG,GONDANG
3522060,35.22.21,TEMAYANG,TEMAYANG
3522070,35.22.07,SUGIHWARAS,SUGIHWARAS
3522080,35.22.08,KEDUNGADEM,KEDUNGADEM
3522100,35.22.10,BAURENO,BAURENO
3522110,35.22.11,KANOR,KANOR
3522120,35.22.12,SUMBEREJO,SUMBEREJO
3522130,35.22.13,BALEN,BALEN
3522140,35.22.24,SUKOSEWU,SUKOSEWU
3522150,35.22.14,KAPAS,KAPAS
3522160,35.22.15,BOJONEGORO,BOJONEGORO
3522170,35.22.23,TRUCUK,TRUCUK
3522180,35.22.06,DANDER,DANDER
3522190,35.22.04,NGASEM,NGASEM
3522191,35.22.28,GAYAM,GAYAM
3522200,35.22.16,KALITIDU,KALITIDU
3522210,35.22.17,MALO,MALO
3522220,35.22.18,PURWOSARI,PURWOSARI
3522230,35.22.19,PADANGAN,PADANGAN
3522240,35.22.20,KASIMAN,KASIMAN
3522241,35.22.25,KEDEWAN,KEDEWAN
3523010,35.23.01,KENDURUAN,KENDURUAN
3523020,35.23.03,BANGILAN,BANGILAN
3523030,35.23.05,SENORI,SENORI
3523040,35.23.07,SINGGAHAN,SINGGAHAN
3523050,35.23.10,MONTONG,MONTONG
3523060,35.23.09,PARENGAN,PARENGAN
3523070,35.23.11,SOKO,SOKO
3523080,35.23.14,RENGEL,RENGEL
3523081,35.23.20,GRABAGAN,GRABAGAN
3523090,35.23.17,PLUMPANG,PLUMPANG
3523100,35.23.19,WIDANG,WIDANG
3523110,35.23.18,PALANG,PALANG
3523120,35.23.15,SEMANDING,SEMANDING
3523130,35.23.16,TUBAN,TUBAN
3523140,35.23.12,JENU,JENU
3523150,35.23.13,MERAKURAK,MERAKURAK
3523160,35.23.08,KEREK,KEREK
3523170,35.23.06,TAMBAKBOYO,TAMBAKBOYO
3523180,35.23.02,JATIROGO,JATIROGO
3523190,35.23.04,BANCAR,BANCAR
3524200,35.24.18,KARANG GENENG,KARANGGENENG
3524010,35.24.01,SUKORAME,SUKORAME
3524020,35.24.02,BLULUK,BLULUK
3524030,35.24.04,NGIMBANG,NGIMBANG
3524040,35.24.11,SAMBENG,SAMBENG
3524050,35.24.16,MANTUP,MANTUP
3524060,35.24.19,KEMBANGBAHU,KEMBANGBAHU
3524070,35.24.12,SUGIO,SUGIO
3524080,35.24.06,KEDUNGPRING,KEDUNGPRING
3524090,35.24.03,MODO,MODO
3524100,35.24.05,BABAT,BABAT
3524110,35.24.13,PUCUK,PUCUK
3524120,35.24.17,SUKODADI,SUKODADI
3524130,35.24.22,LAMONGAN,LAMONGAN
3524140,35.24.23,TIKUNG,TIKUNG
3524141,35.24.27,SARIREJO,SARIREJO
3524150,35.24.25,DEKET,DEKET
3524160,35.24.26,GLAGAH,GLAGAH
3524170,35.24.24,KARANGBINANGUN,KARANGBINANGUN
3524180,35.24.21,TURI,TURI
3524190,35.24.20,KALITENGAH,KALITENGAH
3524210,35.24.09,SEKARAN,SEKARAN
3524220,35.24.10,MADURAN,MADURAN
3524230,35.24.08,LAREN,LAREN
3524240,35.24.15,SOLOKURO,SOLOKURO
3524250,35.24.14,PACIRAN,PACIRAN
3524260,35.24.07,BRONDONG,BRONDONG
3525010,35.25.06,WRINGINANOM,WRINGINANOM
3525020,35.25.15,DRIYOREJO,DRIYOREJO
3525030,35.25.08,KEDAMEAN,KEDAMEAN
3525040,35.25.13,MENGANTI,MENGANTI
3525050,35.25.11,CERME,CERME
3525060,35.25.04,BENJENG,BENJENG
3525070,35.25.02,BALONGPANGGANG,BALONGPANGGANG
3525080,35.25.05,DUDUKSAMPEYAN,DUDUKSAMPEYAN
3525090,35.25.14,KEBOMAS,KEBOMAS
3525100,35.25.16,GRESIK,GRESIK
3525110,35.25.10,MANYAR,MANYAR
3525120,35.25.12,BUNGAH,BUNGAH
3525130,35.25.09,SIDAYU,SIDAYU
3525140,35.25.01,DUKUN,DUKUN
3525150,35.25.03,PANCENG,PANCENG
3525160,35.25.07,UJUNGPANGKAH,UJUNGPANGKAH
3525170,35.25.17,SANGKAPURA,SANGKAPURA
3525180,35.25.18,TAMBAK,TAMBAK
3526160,35.26.09,TANJUNGBUMI,TANJUNG BUMI
3526010,35.26.04,KAMAL,KAMAL
3526020,35.26.12,LABANG,LABANG
3526030,35.26.11,KWANYAR,KWANYAR
3526040,35.26.16,MODUNG,MODUNG
3526050,35.26.15,BLEGA,BLEGA
3526060,35.26.17,KONANG,KONANG
3526070,35.26.18,GALIS,GALIS
3526080,35.26.13,TANAH MERAH,TANAH MERAH
3526090,35.26.14,TRAGAH,TRAGAH
3526100,35.26.02,SOCAH,SOCAH
3526110,35.26.01,BANGKALAN,BANGKALAN
3526120,35.26.03,BURNEH,BURNEH
3526130,35.26.05,AROSBAYA,AROSBAYA
3526140,35.26.06,GEGER,GEGER
3526150,35.26.10,KOKOP,KOKOP
3526170,35.26.08,SEPULU,SEPULU
3526180,35.26.07,KLAMPIS,KLAMPIS
3527101,35.27.14,KARANG PENANG,KARANGPENANG
3527010,35.27.01,SRESEH,SRESEH
3527020,35.27.02,TORJUN,TORJUN
3527021,35.27.13,PANGARENGAN,PANGARENGAN
3527030,35.27.03,SAMPANG,SAMPANG
3527040,35.27.04,CAMPLONG,CAMPLONG
3527050,35.27.05,OMBEN,OMBEN
3527060,35.27.06,KEDUNGDUNG,KEDUNGDUNG
3527070,35.27.07,JRENGIK,JRENGIK
3527080,35.27.08,TAMBELANGAN,TAMBELANGAN
3527090,35.27.09,BANYUATES,BANYUATES
3527100,35.27.10,ROBATAL,ROBATAL
3527110,35.27.12,KETAPANG,KETAPANG
3527120,35.27.11,SOKOBANAH,SOKOBANAH
3528070,35.28.06,PALENGAAN,PALENGGAAN
3528120,35.28.11,BATU MARMAR,BATUMARMAR
3528010,35.28.01,TLANAKAN,TLANAKAN
3528020,35.28.02,PADEMAWU,PADEMAWU
3528030,35.28.03,GALIS,GALIS
3528040,35.28.08,LARANGAN,LARANGAN
3528050,35.28.04,PAMEKASAN,PAMEKASAN
3528060,35.28.05,PROPPO,PROPPO
