kode_bps,kode_dagri,nama_bps,nama_dagri
1101040004,11.09.02.2003,NASREUHE,NASREUHE
1101040005,11.09.02.2005,ALONG,ALONG
1101040006,11.09.02.2006,PANTON LAWE,PANTON LAWE
1101040007,11.09.02.2007,MUTIARA,MUTIARA
1101040008,11.09.02.2009,KARYA BAKTI,KARYA BAKTI
1101040009,11.09.02.2008,TAMON JAYA,TAMON JAYA
1101040010,11.09.02.2010,JAYA BARU,JAYA BARU
1101040011,11.09.02.2011,TAMENG,TAMENG
1101040012,11.09.02.2012,LALLA BAHAGIA,LALLA BAHAGIA
1101040013,11.09.02.2013,SUAK MANANG,SUAK MANANG
1101040014,11.09.02.2016,BUNGA,BUNGA
1101040015,11.09.02.2014,GANANG PUSAKO,GANANG PUSAKO
1101040016,11.09.02.2015,KENANGAN JAYA,KENANGAN JAYA
1101050007,11.09.06.2013,SANGGIRAN,SANGGIRAN
1101050008,11.09.06.2009,AMABAAN,AMABAAN
1101050009,11.09.06.2010,MITEUM,MITEUM
1101050010,11.09.06.2007,MALASIN,MALASIN
1101050011,11.09.06.2005,LAMAMEK,LAMAMEK
1101050012,11.09.06.2003,SIGULAI,SIGULAI
1101050013,11.09.06.2002,SEMBILAN,SEMBILAN
1101050014,11.09.06.2001,LAYABAUNG,LAYABAUNG
1101050015,11.09.06.2014,LHOK MAKMUR,LHOK MAKMUR
1101050016,11.09.06.2012,UJUNG HARAPAN,UJUNG HARAPAN
1101050018,11.09.06.2008,BABUL MAKMUR,BABUL MAKMUR
1101050019,11.09.06.2006,BATU RAGI,BATU RAGI
1101050020,11.09.06.2004,SINAR BAHAGIA,SINAR BAHAGIA
1101050017,11.09.06.2011,LHOK BIKHAO,LHOK BIKHAU
1101051001,11.09.08.2008,LAFAKHA,LAFAKHA
1101051002,11.09.08.2007,LHOK DALAM,LHOK DALAM
1101051003,11.09.08.2006,LUBUK BAIK,LUBUK BAIK
1101051004,11.09.08.2005,LANGI,LANGI
1101051005,11.09.08.2004,SERAFON,SERAFON
1101051006,11.09.08.2003,LHOK PAUH,LHOK PAUH
1101051007,11.09.08.2002,LAMEREM,LAMEREM
1101051008,11.09.08.2001,LEWAK,LEWAK
1102010003,11.10.01.2002,PULAU BAGUK,PULAU BAGUK
1102010004,11.10.01.2001,PULAU BALAI,PULAU BALAI
1102010005,11.10.01.2004,TELUK NIBUNG,TELUK NIBUNG
1102011001,11.10.16.2002,ASANTOLA,ASANTOLA
1102011002,11.10.16.2003,UJUNG SIALIT,UJUNG SIALIT
1102011003,11.10.16.2001,HALOBAN,HALOBAN
1102011004,11.10.16.2004,SUKA MAKMUR,SUKA MAKMUR
1102020003,11.10.04.2003,PULO SAROK,PULO SAROK
1102020005,11.10.04.2002,UJUNG,UJUNG
1102020007,11.10.04.2004,KILANGAN,KILANGAN
1102020009,11.10.04.2007,TELUK AMBUN,TELUK AMBUN
1102020010,11.10.04.2008,RANTAU GEDANG,RANTAU GEDANG
1102020011,11.10.04.2009,TELUK RUMBIA,TELUK RUMBIA
1102020012,11.10.04.2012,TAKAL PASIR,TAKAL PASIR
1102020013,11.10.04.2014,SELOK ACEH,SELOK ACEH
1102020014,11.10.04.2010,PEA BUMBUNG,PEA BUMBUNG
1102020015,11.10.04.2011,PEMUKA,PEMUKA
1102020019,11.10.04.2020,SUKA DAMAI,SUKA DAMAI
1102020020,11.10.04.2017,UJUNG BAWANG,UJUNG BAWANG
1102020021,11.10.04.2019,SITI AMBIA,SITI AMBIA
1102020022,11.10.04.2016,SUKA MAKMUR,SUKA MAKMUR
1102020006,11.10.04.2005,KOTA SIMBOLING,KUTA SIMBOLING
1102020004,11.10.04.2001,PASAR SINGKIL,PASAR
1102021001,11.10.10.2001,GOSONG TELAGA UTARA,GOSONG TELAGA UTARA
1102021002,11.10.10.2002,GOSONG TELAGA SELATAN,GOSONG TELAGA SELATAN
1102021003,11.10.10.2005,GOSONG TELAGA TIMUR,GOSONG TELAGA TIMUR
1102021004,11.10.10.2007,TELAGA BAKTI,TELAGA BAKTI
1102021005,11.10.10.2003,KAMPUNG BARU,KAMPUNG BARU
1102021006,11.10.10.2004,KETAPANG INDAH,KETAPANG INDAH
1102021007,11.10.10.2006,GOSONG TELAGA BARAT,GOSONG TELAGA BARAT
1102022001,11.10.14.2004,KAYU MENANG,KAYU MENANG
1102022002,11.10.14.2002,KUALA BARU SUNGAI,KUALA BARU SUNGAI
1102022003,11.10.14.2001,KUALA BARU LAUT,KUALA BARU LAUT
1102022004,11.10.14.2003,SUKA JAYA,SUKA JAYA
1102030017,11.10.02.2005,PANGI,PANGI
1102030026,11.10.02.2021,TUGAN,TUGAN
1102030027,11.10.02.2019,CIBUBUKAN,CIBUBUKAN
1102030028,11.10.02.2002,KAIN GOLONG,KAIN GOLONG
1102030029,11.10.02.2006,SUKAREJO,SUKAREJO
1102030031,11.10.02.2016,LAE GECIH,LAE GECIH
1102030032,11.10.02.2004,SIATAS,SIATAS
1102030033,11.10.02.2003,KUTA KERANGAN,KUTA KERANGAN
1102030034,11.10.02.2001,LIPAT KAJANG,LIPAT KAJANG
1102030035,11.10.02.2022,TANJUNG MAS,TANJUNG MAS
1102030036,11.10.02.2020,SERASAH,SERASAH
1102030038,11.10.02.2007,UJUNG LIMUS,UJUNG LIMUS
1102030039,11.10.02.2008,SILATONG,SILATONG
1102030040,11.10.02.2010,LAE RIMAN,LAE RIMAN
1102030041,11.10.02.2009,PERTABAS,PERTABAS
1102030042,11.10.02.2014,KUTA TINGGI,KUTA TINGGI
1102030043,11.10.02.2013,LAE NIPE,LAE NIPE
1102030044,11.10.02.2011,PAKIRAMAN,PAKIRAMAN
1102030048,11.10.02.2018,LAE GAMBIR,LAE GAMBIR
1102030049,11.10.02.2012,KUTA BATU,KUTA BATU
1102030050,11.10.02.2017,GUHA,GUHA
1102030051,11.10.02.2023,LIPAT KAJANG ATAS,LIPAT KAJANG ATAS
1102030052,11.10.02.2024,SIDODADI,SIDODADI
1102030053,11.10.02.2025,PANDAN SARI,PANDAN SARI
1102030030,11.10.02.2015,TUH TUHAN,TUHTUHAN
1102031001,11.10.06.2019,PERTAMPAKAN,PERTAMPAKAN
1102031002,11.10.06.2018,TANAH MERAH,TANAH MERAH
1102031003,11.10.06.2017,SEBATANG,SEBATANG
1102031004,11.10.06.2016,SEPING BARU,SEPING BARU
1102031005,11.10.06.2015,PERANGUSAN,PERANGUSAN
1102031006,11.10.06.2014,GUNUNG LAGAN,GUNUNG LAGAN
1102031007,11.10.06.2006,TANAH BARA,TANAH BARA
1102031008,11.10.06.2013,SUKA MAKMUR,SUKA MAKMUR
1102031009,11.10.06.2012,SIDOREJO,SIDOREJO
1102031011,11.10.06.2011,BLOK 31,BLOK 31
1102031012,11.10.06.2010,BLOK 18,BLOK 18
1102031013,11.10.06.2021,SANGGABERU SILULUSAN,SANGGABERU SILULUSAN
1102031014,11.10.06.2009,BLOK 15,BLOK 15
1102031015,11.10.06.2022,TULAAN,TULAAN
1102031016,11.10.06.2008,BLOK VI BARU,BLOK VI BARU
1102031017,11.10.06.2023,TUNAS HARAPAN,TUNAS HARAPAN
1102031018,11.10.06.2024,LAE BUTAR,LAE BUTAR
1102031019,11.10.06.2007,RIMO,RIMO
1102031021,11.10.06.2004,CINGKAM,CINGKAM
1102031022,11.10.06.2003,BUKIT HARAPAN,BUKIT HARAPAN
1102031023,11.10.06.2002,PENJAHITAN,PENJAHITAN
1102031024,11.10.06.2001,TANJUNG BETIK,TANJUNG BETIK
1102031025,11.10.06.2005,LABUHAN KERA,LABUHAN KERA
1102031010,11.10.06.2020,PANDAN SARI,PANDA SARI
1102031020,11.10.06.2025,SIANJO ANJO MERIAH,SIANJO-ANJO MERIAH
1102032002,11.10.11.2001,LAE BALNO,LAE BALNO
1102032003,11.10.11.2003,SIKORAN,SIKORAN
1102032005,11.10.11.2005,BISKANG,BISKANG
1102032006,11.10.11.2004,SITUBUH-TUBUH,SITUBUH-TUBUH
1102032001,11.10.11.2006,SITUBAN MAKMUR,SINTUBAN MAKMUR
1102032004,11.10.11.2002,NAPA GALUH,NAPAGALUH
1102033001,11.10.12.2009,MANDUMPANG,MANDUMPANG
1102033002,11.10.12.2005,ALUR LINCI,ALUR LINCI
1102033003,11.10.12.2010,SIRIMO MUNGKUR,SIRIMO MUNGKUR
1102033004,11.10.12.2008,KERAS,KERAS
1102033005,11.10.12.2007,KETANGKUHAN,KETANGKUHAN
1102033006,11.10.12.2006,SIOMPIN,SIOMPIN
1102033007,11.10.12.2011,BULU ARA,BULU ARA
1102033008,11.10.12.2004,LAE BANGUN,LAE BANGUN
1102033009,11.10.12.2003,BULU SEMA,BULU SEMA
1102033010,11.10.12.2002,PANGKALAN SULAMPI,PANGKALAN SULAMPI
1102033011,11.10.12.2001,SURO BARU,SURO
1102042001,11.10.13.2006,SRI KAYU,SRI KAYU
1102042002,11.10.13.2007,PEA JAMBU,PEA JAMBU
1102042003,11.10.13.2003,LAE PINANG,LAE PINANG
1102042004,11.10.13.2001,SINGKOHOR,SINGKOHOR
1102042006,11.10.13.2004,MUKTI JAYA,MUKTI JAYA
1102042007,11.10.13.2002,LAE SIPOLA,LAE SIPOLA
1102043001,11.10.09.2006,MUARA PEA,MUARA PEA
1102043002,11.10.09.2008,SUMBER MUKTI,SUMBER MUKTI
1102043003,11.10.09.2005,LADANG BISIK,LADANG BISIK
1102043004,11.10.09.2004,SAMAR DUA,SAMAR DUA
1102043005,11.10.09.2003,BUTAR,BUTAR
1102043007,11.10.09.2002,LAPAHAN BUAYA,LAPAHAN BUAYA
1102043008,11.10.09.2001,LENTONG,LENTONG
1102043009,11.10.09.2010,DANAU BUNGARA,DANAU BUNGARA
1102043006,,MUKTI LINCIR,
1103010001,11.01.09.2012,KUTA PADANG,KUTA PADANG
1103010002,11.01.09.2013,RAKET,RAKET
1103010005,11.01.09.2004,IE MEUDAMA,IE MEUDAMA
1103010010,11.01.09.2001,KEUDE TRUMON,KEUDE TRUMON
1103010004,11.01.09.2005,TEPIN TINGGI,TUEPIN TINGGI
1103010009,11.01.09.2002,UJONG TAN0H,UJONG TANOH
1103010011,11.01.09.2006,KUTA BARU,KUTA BARO
1103010012,11.01.09.2003,SINGLENG,SIGLENG
1103010013,11.01.09.2007,PANTON BILI,PANTON BILIE
1103010003,11.01.09.2014,GAMPONG TENGAH,GAMPONG TEUNGOH
1103010027,11.01.09.2016,UPT II PD HARAPAN,PADANG HARAPAN
1103010030,11.01.09.2015,SEUNABOK JAYA (EX UPT V),SEUNEUBOK JAYA
1103011001,11.01.16.2012,TITI POBEN,TITI POBEN
1103011002,11.01.16.2011,ALUR BUJOK,ALUR BUJOK
1103011008,11.01.16.2005,PINTO RIMBA,PINTO RIMBA
1103011010,11.01.16.2007,JAMBO DALEM,JAMBO DALEM
1103011003,11.01.16.2009,SEUNEUBOK PUNTHO,SEUNEUBOK PUNTO
1103011009,11.01.16.2006,KRUNG LUAS,KRUENG LUAS
1103011011,11.01.16.2008,KAPAI SEUSAK,KAPA SESAK
1103011012,11.01.16.2010,UPT I SNB PUSAKA,SEUNEUBOK PUSAKA
1103012001,11.01.18.2010,LHOK RAYA,LHOK RAYA
1103012002,11.01.18.2009,IE JEUREUNEH,IE JEUREUNEH
1103012003,11.01.18.2008,NACA,NACA
1103012004,11.01.18.2007,COT BAYU,COT BAYU
1103012005,11.01.18.2006,JAMBO PAPEUN,JAMBO PAPEUN
1103012006,11.01.18.2001,LADANG RIMBA,LADANG RIMBA
1103012007,11.01.18.2005,PULO PAYA,PULO PAYA
1103012008,11.01.18.2004,KRUENG BATEE,KRUENG BATEE
1103012009,11.01.18.2003,KAMPONG TEUNGOH,KAMPONG TEUNGOH
1103012010,11.01.18.2002,GUNONG KAPHO,GUNONG KAPHO
1103020002,11.01.01.2001,KEUDE BAKONGAN,KEUDE BAKONGAN
1103020024,11.01.01.2016,PADANG BEURAHAN,PADANG BEURAHAN
1103020001,11.01.01.2002,UJUNG MANGKI,UJONG MANGKI
1103020014,11.01.01.2003,UJUNG PADANG,UJONG PADANG
1103020023,11.01.01.2015,DAHRUL IHSAN,DARUL IKHSAN
1103020003,11.01.01.2017,KAMPUNG BARU,GAMPONG BARO
1103020015,11.01.01.2004,KMP DRIEN,GAMPONG DRIEN
1103021005,11.01.15.2002,LADANG RIMBA,LADANG RIMBA
1103021006,11.01.15.2005,SIMPANG,SIMPANG
1103021007,11.01.15.2004,SAWAH TINGKEUM,SAWAH TINGKEUM
1103021008,11.01.15.2008,SEULEUKAT,SEULEUKAT
1103021002,11.01.15.2006,UJUNG PULO CUT,UJONG PULO CUT
1103021003,11.01.15.2003,UJUNG PULO RAYEUK,UJONG PULO RAYEUK
1103021004,11.01.15.2001,PASI SEUBADEH,PASIE SEUBADEH
1103022002,11.01.17.2010,ALURDUAMAS,ALURDUAMAS
1103022003,11.01.17.2009,JAMBO KEUPOK,JAMBO KEUPOK
1103022005,11.01.17.2008,BEUTONG,BEUTONG
1103022008,11.01.17.2002,RAMBONG,RAMBONG
1103022009,11.01.17.2003,SEUNEUBOK KEURANJI,SEUNEUBOK KEURANJI
1103022004,11.01.17.2005,UJUNG TANOH,UJONG TANOH
1103022001,11.01.17.2004,SENEUBOK ALUR BULAH,SEUNEUBOK ALUR BULOH
1103022007,11.01.17.2006,UJUNG GUNUNG CUT,UJONG GUNONG CUT
1103022010,11.01.17.2001,BUKIT GADING,BUKET GADENG
1103022006,11.01.17.2007,UJUNG GUNONG RAYEK,UJONG GUNUNG RAYEUK
1103030002,11.01.03.2016,UJUNG PADANG,UJUNG PADANG
1103030003,11.01.03.2017,INDRA DAMAI,INDRA DAMAI
1103030005,11.01.03.2003,BARAT DAYA,BARAT DAYA
1103030006,11.01.03.2004,SIALANG,SIALANG
1103030007,11.01.03.2005,KAPEH,KAPEH
1103030008,11.01.03.2006,PULO IE,PULO IE
1103030009,11.01.03.2011,JUA,JUA
1103030011,11.01.03.2010,UJUNG,UJUNG
1103030013,11.01.03.2008,KEDAI KANDANG,KEDAI KANDANG
1103030014,11.01.03.2002,RANTAU BINUANG,RANTAU BINUANG
1103030015,11.01.03.2013,UJUNG PASIR,UJUNG PASIR
1103030017,11.01.03.2007,KEDAI RUNDING,KEDAI RUNDING
1103030001,11.01.03.2015,PASI LEMBANG,PASIE LEMBANG
1103030004,11.01.03.2001,SUAQ BAKONG,SUAQ BAKUNG
1103030010,11.01.03.2012,PASI MERAPAT,PASI MEURAPAT
1103030016,11.01.03.2014,GELUMBUK,GEULUMBUK
1103030012,11.01.03.2011,LUAR,JUA
1103031001,11.01.14.2002,SAPIK,SAPIK
1103031002,11.01.14.2004,DURIAN KAWAN,DURIAN KAWAN
1103031003,11.01.14.2003,ALAI,ALAI
1103031004,11.01.14.2001,PAYA DAPUR,PAYA DAPUR
1103031005,11.01.14.2007,PUCUK LEMBANG,PUCUK LEMBANG
1103031006,11.01.14.2006,LAWE BULUH DIDI,LAWE BULUH DIDI
1103031007,11.01.14.2005,LAWE SAWAH,LAWE SAWAH
1103031008,11.01.14.2008,PAYA LABA,PAYA LABA
1103031009,11.01.14.2009,LAWE CIMANOK,LAWE CIMANOK
1103040001,11.01.02.2019,KEDAI PADANG,KEDAI PADANG
1103040004,11.01.02.2016,SIMPANG LHEE,SIMPANG LHEE
1103040005,11.01.02.2007,SIMPANG EMPAT,SIMPANG EMPAT
1103040006,11.01.02.2006,JAMBO MANYANG,JAMBO MANYANG
1103040007,11.01.02.2008,LIMAU PURUT,LIMAU PURUT
1103040008,11.01.02.2009,PULO KAMBING,PULO KAMBING
1103040009,11.01.02.2010,KAMPUNG PAYA,KAMPUNG PAYA
1103040010,11.01.02.2011,KRUENG BATU,KRUENG BATU
1103040012,11.01.02.2005,PULO IE I,PULO IE I
1103040013,11.01.02.2002,KRUENG BATEE,KRUENG BATEE
1103040014,11.01.02.2003,PASI KUALA ASAHAN,PASI KUALA ASAHAN
1103040015,11.01.02.2001,FAJAR HARAPAN,FAJAR HARAPAN
1103040036,11.01.02.2012,KRUENG KLUET,KRUENG KLUET
1103040039,11.01.02.2013,ALUR MAS,ALUR MAS
1103040050,11.01.02.2014,KAMPUNG TINGGI,KAMPUNG TINGGI
1103040053,11.01.02.2021,GUNUNG PUDUNG,GUNUNG PUDUNG
1103040002,11.01.02.2018,PASI KUALA BAU,PASI KUALA BA'U
1103040003,11.01.02.2017,SUAQ GERINGGENG,SUAQ GEURINGGENG
1103040011,11.01.02.2004,GUNONG PULO,GUNUNG PULO
1103040052,11.01.02.2020,KOTA FAJAR,KOTAFAJAR
1103040051,11.01.02.2015,KAMPUNG RUAK,RUAK
1103041001,11.01.10.2019,UJUNG PADANG ASAHAN,UJUNG PADANG ASAHAN
1103041002,11.01.10.2020,PULO IE II,PULO IE II
1103041003,11.01.10.2012,IE MIRAH,IE MIRAH
1103041004,11.01.10.2014,UJUNG PADANG RASIAN,UJUNG PADANG RASIAN
1103041006,11.01.10.2018,TEUPIN GAJAH,TEUPIN GAJAH
1103041009,11.01.10.2016,LHOK SIALANG RAYEUK,LHOK SIALANG RAYEUK
1103041010,11.01.10.2010,LHOK SIALANG CUT,LHOK SIALANG CUT
1103041012,11.01.10.2003,SILOLO,SILOLO
1103041013,11.01.10.2004,KAMPUNG BARU,KAMPUNG BARU
1103041015,11.01.10.2007,LADANG TUHA,LADANG TUHA
1103041016,11.01.10.2005,PANTON BILI,PANTON BILI
1103041017,11.01.10.2001,LADANG TEUNGOH,LADANG TEUNGOH
1103041019,11.01.10.2008,MATA IE,MATA IE
1103041021,11.01.10.2021,PANTE RAJA,PANTE RAJA
1103041005,11.01.10.2013,PASI RASIAN,PASIE RASIAN
1103041007,11.01.10.2004,KAMPUNG BARO,KAMPUNG BARU
1103041008,11.01.10.2015,KRUENG KELEE,KRUENG KALEE
1103041018,11.01.10.2002,PUCUK KRUENG,PUCOK KRUENG
1103041011,11.01.10.2006,PAYATEUK,PAYA ATEUK
1103041014,11.01.10.2011,SI NEUBOK,SEUNEUBOK
1103041020,11.01.10.2009,UJUNG BATU,UJONG BATEE
1103042001,11.01.13.2003,JAMBO PAPAN,JAMBO PAPAN
1103042002,11.01.13.2005,KOTO INDARUNG,KOTO INDARUNG
1103042004,11.01.13.2004,MALAKA,MALAKA
1103042005,11.01.13.2010,LAWE MELANG,LAWE MELANG
1103042006,11.01.13.2001,KOTO,KOTO
1103042007,11.01.13.2007,KAMPUNG SAWAH,KAMPUNG SAWAH
1103042008,11.01.13.2008,KAMPUNG PADANG,KAMPUNG PADANG
1103042009,11.01.13.2009,PULO AIR,PULO AIR
1103042010,11.01.13.2011,MERSAK,MERSAK
1103042011,11.01.13.2012,SIMPANG DUA,SIMPANG DUA
1103042012,11.01.13.2013,SIMPANG TIGA,SIMPANG TIGA
1103042003,11.01.13.2006,SIURAI URAI,SIURAI-URAI
1103042013,11.01.13.2002,ALUR KEJRUN,ALUR KEUJRUN
1103050001,11.01.08.2010,GUNUNG KERAMBIL,GUNUNG KERAMBIL
