kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
2202,IRIAN BARAT,2601,MARAUKE,2601,MERAUKE,8201,MERAUKE,9101,MERAUKE,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT,9415,ASMAT
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO,9416,YAHUKIMO
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG,9417,PEGUNUNGAN BINTANG
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA,9418,TOLIKARA
2202,IRIAN BARAT,2603,DJAJAPURA,2603,JAYAPURA,8203,JAYA PURA,9103,JAYAPURA,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI,9419,SARMI
2202,IRIAN BARAT,2603,DJAJAPURA,2603,JAYAPURA,8203,JAYA PURA,9103,JAYAPURA,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM,9420,KEEROM
2202,IRIAN BARAT,2608,JAPEN WAROPEN,2608,YAPEN WAROPEN,8208,YAPEN WAROPEN,9111,YAPEN WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN,9426,WAROPEN
2202,IRIAN BARAT,2609,T. TJENDRAWASIH,2609,TELUK CENDRAWASIH,8209,BIAK NUMFOR,9112,BIAK NUMFOR,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI,9427,SUPIORI
2202,IRIAN BARAT,2603,DJAJAPURA,2603,JAYAPURA,8203,JAYA PURA,9103,JAYAPURA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA,9428,MAMBERAMO RAYA
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA,9429,NDUGA
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA,9430,LANNY JAYA
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH,9431,MAMBERAMO TENGAH
2202,IRIAN BARAT,2602,PEG. DJAYAWIDJAYA,2602,JAYAWIJAYA,8202,JAYA WIJAYA,9102,JAYAWIJAYA,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO,9432,YALIMO
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9105,PUNCAK JAYA,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK,9433,PUNCAK
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9106,NABIRE,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI,9434,DOGIYAI
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9104,PANIAI,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA,9435,INTAN JAYA
2202,IRIAN BARAT,2604,PANIAI,2604,PANIAI,8204,PANIAI,9104,PANIAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI,9436,DEIYAI
2202,IRIAN BARAT,2603,DJAJAPURA,2603,JAYAPURA,8203,JAYA PURA,9171,KOTA JAYA PURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA,9471,JAYAPURA
2202,IRIAN BARAT,2605,FAK-FAK,2605,FAK FAK,8205,FAK FAK,9107,FAK FAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK,9101,FAKFAK
2202,IRIAN BARAT,2605,FAK-FAK,2605,FAK FAK,8205,FAK FAK,9107,FAK FAK,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA,9102,KAIMANA
2202,IRIAN BARAT,2607,MANOKWARI,2607,MANOKWARI,8207,MANOKWARI,9110,MANOKWARI,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA,9103,TELUK WONDAMA
2202,IRIAN BARAT,2607,MANOKWARI,2607,MANOKWARI,8207,MANOKWARI,9110,MANOKWARI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI,9104,TELUK BINTUNI
2202,IRIAN BARAT,2607,MANOKWARI,2607,MANOKWARI,8207,MANOKWARI,9110,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI,9105,MANOKWARI
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9109,SORONG,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN,9106,SORONG SELATAN
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9109,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG,9107,SORONG
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9109,SORONG,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT,9108,RAJA AMPAT
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9109,SORONG,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW,9109,TAMBRAUW
2202,IRIAN BARAT,2606,SORONG,2606,SORONG,8206,SORONG,9109,SORONG,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT,9110,MAYBRAT
