kode_1961,nama_1961,kode_1971,nama_1971,kode_1980,nama_1980,kode_1990,nama_1990,kode_2000,nama_2000,kode_20102,nama_20102,kode_20111,nama_20111,kode_20112,nama_20112,kode_20121,nama_20121,kode_20122,nama_20122,kode_20131,nama_20131,kode_20132,nama_20132,kode_20141,nama_20141,kode_20142,nama_20142,kode_20151,nama_20151,kode_20152,nama_20152,kode_20161,nama_20161,kode_20162,nama_20162,kode_20171,nama_20171,kode_20172,nama_20172,kode_20181,nama_20181
2,DJAWA BARAT,10,DJAWA BARAT,10,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT,32,JAWA BARAT
3,DJAWA TENGAH,11,DJAWA TENGAH,11,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH,33,JAWA TENGAH
4,D.I. JOGJAKARTA,12,D.I. JOGJAKARTA,12,DI YOGYAKARTA,34,DI YOGYAKARTA,34,D I YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA,34,DI YOGYAKARTA
5,DJAWA TIMUR,13,DJAWA TIMUR,13,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR,35,JAWA TIMUR
2,DJAWA BARAT,10,DJAWA BARAT,10,JAWA BARAT,32,JAWA BARAT,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN,36,BANTEN
18,BALI,14,BALI,14,BALI,51,BALI,51,B A L I,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI,51,BALI
19,NUSATENGGARA BARAT,15,NUSA TENGGARA BARAT,15,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT,52,NUSA TENGGARA BARAT
20,NUSATENGGARA TIMUR,16,NUSA TENGGARA TIMUR,16,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR,53,NUSA TENGGARA TIMUR
12,KALIMANTAN BARAT,17,KALIMANTAN BARAT,17,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT,61,KALIMANTAN BARAT
13,KALIMANTAN TENGAH,18,KALIMANTAN TENGAH,18,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH,62,KALIMANTAN TENGAH
