kecid
1101010
1101020
1101021
1101022
1101030
1101031
1101032
1101040
1101050
1101051
1102010
1102011
1102020
1102021
1102022
1102030
1102031
1102032
1102033
1102042
1102043
1103010
1103011
1103012
1103020
1103021
1103022
1103030
1103031
1103040
1103041
1103042
1103050
1103060
1103070
1103080
1103090
1103091
1103092
1104010
1104011
1104012
1104020
1104021
1104022
1104023
1104030
1104031
1104032
1104040
1104041
1104050
1104051
1104052
1104053
1105080
1105081
1105082
1105090
1105100
1105101
1105110
1105111
1105112
1105120
1105130
1105131
1105132
1105133
1105134
1105135
1105140
1105150
1105151
1105160
1105161
1105170
1105180
1105181
1106010
1106011
1106012
1106020
1106031
1106032
1106040
1106041
1106050
1106051
1106060
1106061
1106062
1106063
1107050
1107060
1107061
1107062
1107070
1107071
1107072
1107080
1107081
1107082
1107083
1107090
1108010
1108020
1108021
1108030
1108031
1108040
1108041
1108042
1108050
1108060
1108061
1108070
1108080
1108081
1108090
1108091
1108100
1108101
1108102
1108110
1108111
1108120
1108130
1109010
1109011
1109070
1109071
1109080
1109081
1109090
1109100
1109111
1109112
1109120
1109130
1109140
1109150
1109151
1109160
1109170
1109180
1109190
1109200
1109210
1109220
1109230
1110010
1110011
1110020
1110030
1110031
1110040
1110050
1110060
1110061
1110062
1110070
1110080
1110081
1110082
1110090
1110100
1110101
1111010
1111020
1111021
1111022
1111030
1111031
1111040
1111041
1111050
1111060
1111061
1111062
1111070
1111080
1111081
1111090
1111100
1111101
1111110
1111120
1111121
1111130
1111140
1111150
1111151
1111160
1111170
1112010
1112011
1112020
1112021
1112030
1112031
1112040
1112050
1112060
1113010
1113011
1113020
1113021
1113022
1113023
1113030
1113040
1113041
1113050
1113051
1114010
1114011
1114020
1114021
1114030
1114040
1114050
1114060
1114061
1114070
1114071
1114080
1115010
1115011
1115020
1115021
1115022
1115030
1115031
1115040
1115041
1115050
1116010
1116011
1116020
1116030
1116040
1116050
1116051
1116060
1116061
1117010
1117011
1117020
1117030
1117040
1117050
1117051
1117060
1117061
1117070
1118010
1118020
1118030
1118040
1118050
1118060
1118070
1118080
1171010
1171011
1171012
1171020
1171021
1171030
1171031
1171040
1171041
1172010
1172020
1173010
1173011
1173020
1173021
1173030
1174010
1174020
1174021
1174030
1175010
1175020
1175030
1175040
1175050
1201060
1201061
1201062
1201070
1201071
1201081
1201082
1201130
1201131
1201132
1202010
1202011
1202020
1202021
1202022
1202030
1202031
1202032
1202033
1202034
1202040
1202041
1202050
1202051
1202052
1202053
1202054
1202055
1202060
1202070
1202080
1202081
1202082
1203010
1203011
1203012
1203070
1203080
1203090
1203091
1203100
1203101
1203102
1203110
1203120
1203160
1203161
1204010
1204011
1204020
1204021
1204022
1204030
1204031
1204032
1204040
1204041
1204050
1204060
1204061
1204062
1204070
1204071
1204072
1204073
1204080
1204081
1205030
1205040
1205050
1205060
1205061
1205070
1205080
1205081
1205082
1205090
1205100
1205110
1205120
1205130
1205180
1206030
1206031
1206040
1206050
1206051
1206052
1206060
1206061
1206070
1206071
1206072
1206073
1206080
1206081
1206082
1206083
1207050
1207070
1207080
1207130
1207140
1207150
1207160
1207210
1207220
1208010
1208020
1208021
1208022
1208030
1208031
1208032
1208040
1208041
1208042
1208050
1208060
1208061
1208070
1208071
1208080
1208081
1208082
1208090
1208091
1208092
1208100
1208101
1208160
1208170
1209010
1209011
1209020
1209021
1209030
1209040
1209041
1209050
1209060
1209061
1209070
1209080
1209090
1209091
1209100
1209101
1209110
1209120
1209130
1209140
1209150
1209160
1209161
1209162
1209170
1209171
1209180
1209181
1209190
1209191
1209200
1209210
1210030
1210031
1210032
1210040
1210050
1210051
1210060
1210061
1210070
1210080
1210090
1210100
1210101
1210110
1210120
1211010
1211020
1211030
1211040
1211050
1211060
1211070
1211071
1211080
1211081
1211082
1211090
1211100
1211110
1211111
1211120
1211130
1212010
1212020
1212030
1212040
1212050
1212060
1212070
1212080
1212090
1212190
1212200
1212210
1212220
1212230
1212240
1212250
1212260
1212270
1212280
1212290
1212300
1212310
1213010
1213011
1213020
1213021
1213030
1213040
1213050
1213060
1213070
1213080
1213090
1213100
1213110
1213120
1213130
1213140
1213150
1213160
1213170
1213180
1213190
1213200
1213201
1214010
1214011
1214020
1214021
1214022
1214023
1214024
1214030
1214031
1214032
1214033
1214034
1214035
1214036
1214040
1214041
1214042
1214050
1214051
1214052
1214060
1214061
1214062
1214063
1214064
1214065
1214066
1214070
1214071
1214072
1214080
1214081
1214082
1214083
1214084
1215010
1215020
1215030
1215040
1215050
1215060
1215070
1215080
1215090
1215100
1216010
1216011
1216012
1216013
1216014
1216020
1216021
1216022
1217010
1217020
1217030
1217040
1217050
1217060
1217070
1217080
1217090
1218010
1218011
1218012
1218020
